wn_idx,mean,std
0,0.0024648265,0.014291395
1,0.0030499657,0.012949432
2,0.0036351045,0.011844049
3,0.004220244,0.011046519
4,0.0048053833,0.010626372
5,0.005390523,0.010628463
6,0.005666619,0.01089686
7,0.005650941,0.011133137
8,0.0052755615,0.011370484
9,0.004572553,0.011597145
10,0.0038441652,0.011841592
11,0.0033955383,0.012167208
12,0.003411304,0.012550138
13,0.00375524,0.0128420815
14,0.0042610983,0.0129409
15,0.0050930087,0.012972244
16,0.0063720816,0.013020552
17,0.007867708,0.013046058
18,0.009262152,0.01300241
19,0.010379732,0.012893719
20,0.011042476,0.012686114
21,0.011455358,0.012492038
22,0.01195142,0.012381011
23,0.012455875,0.012283753
24,0.012791686,0.012141392
25,0.012944701,0.011943414
26,0.013048213,0.011744305
27,0.013288456,0.011662367
28,0.01361702,0.01167185
29,0.013947273,0.011692658
30,0.014280279,0.011702963
31,0.014657123,0.011686814
32,0.015127154,0.011634666
33,0.01571653,0.011544165
34,0.016358424,0.011421644
35,0.016876226,0.011259488
36,0.017120885,0.011089777
37,0.01694079,0.010929638
38,0.016210299,0.010796062
39,0.014962887,0.010742511
40,0.0133979,0.010829712
41,0.011703035,0.01106663
42,0.0101072,0.011431019
43,0.008851257,0.011853113
44,0.0080017345,0.01218248
45,0.0075587365,0.012309502
46,0.0075479327,0.012274153
47,0.007859301,0.01216368
48,0.008289133,0.0120341135
49,0.008723109,0.011966191
50,0.009024637,0.01195698
51,0.009103939,0.011956164
52,0.008998694,0.011980873
53,0.008733266,0.0120267
54,0.008371056,0.012055615
55,0.008067591,0.012051909
56,0.007922232,0.011972226
57,0.008011335,0.011790123
58,0.00838959,0.011537851
59,0.008937857,0.011245769
60,0.009417621,0.010959799
61,0.009552024,0.010738794
62,0.0090304855,0.010560185
63,0.0076663936,0.010385231
64,0.005469397,0.01021727
65,0.0025935585,0.010088521
66,-0.0005700402,0.010086607
67,-0.00352022,0.010266162
68,-0.005912997,0.010535968
69,-0.007507644,0.010773722
70,-0.0081183445,0.010957301
71,-0.007827527,0.01108978
72,-0.006940161,0.011165318
73,-0.0057620923,0.011202705
74,-0.0045697372,0.011208185
75,-0.0035650318,0.01118218
76,-0.0028195758,0.011152184
77,-0.0022969265,0.011171512
