wn_idx,mean,std
325,0.029717023,0.023038417
326,0.03907322,0.023509804
327,0.049028445,0.02402187
328,0.060133923,0.02474964
329,0.07214062,0.025323395
330,0.08446781,0.025632096
331,0.0971708,0.02591615
332,0.110229395,0.026235366
333,0.122982375,0.026625702
334,0.13430566,0.027267078
335,0.14302845,0.028304348
336,0.14843586,0.030107103
337,0.15060289,0.032733873
338,0.14960662,0.035244677
339,0.14564647,0.037390977
340,0.13850078,0.039346833
341,0.1283103,0.04090983
342,0.11677572,0.042090815
343,0.10585027,0.042863227
344,0.0960349,0.043074246
345,0.08691692,0.043128014
346,0.078346446,0.04375086
347,0.06975023,0.044440735
348,0.060614675,0.045348167
349,0.050166935,0.046904664
350,0.03738935,0.049144186
351,0.02175281,0.051720146
352,0.003139613,0.053853776
353,-0.01769793,0.055331606
354,-0.03923829,0.056284525
355,-0.06039088,0.05587887
356,-0.08063149,0.053769678
357,-0.09885576,0.051158212
358,-0.11383683,0.048671287
359,-0.12524153,0.046412032
360,-0.13357267,0.04437282
361,-0.13983718,0.043222643
362,-0.14426875,0.043503534
363,-0.14654915,0.043808743
364,-0.14707434,0.043063074
365,-0.1461191,0.041250177
366,-0.14366241,0.038913164
367,-0.14042659,0.036560107
368,-0.13728634,0.034694742
369,-0.13443011,0.033559583
370,-0.13130747,0.032935027
371,-0.12715663,0.03164391
372,-0.12245801,0.030292124
373,-0.11735722,0.030171545
374,-0.11110213,0.030796684
375,-0.10358866,0.03098448
376,-0.094902866,0.030256996
377,-0.08499947,0.029163763
378,-0.074299514,0.028496131
379,-0.063672386,0.027483268
380,-0.054254096,0.025793463
381,-0.046435963,0.024229506
382,-0.039695572,0.022901867
383,-0.03402724,0.021820698
384,-0.029520445,0.021018537
385,-0.02598416,0.020431858
386,-0.023097511,0.02009208
387,-0.020576794,0.01973233
388,-0.018308213,0.018682975
389,-0.016167808,0.017651103
390,-0.014353726,0.01704325
391,-0.013210667,0.016514989
392,-0.012721457,0.015936414
393,-0.012592338,0.015515079
394,-0.012517044,0.01550565
395,-0.012405276,0.01572036
396,-0.012326698,0.015549489
397,-0.012140035,0.015205201
398,-0.011565622,0.015133353
399,-0.0106333215,0.014748985
400,-0.009374016,0.0144633325
401,-0.007847739,0.01457606
402,-0.0063010766,0.014659255
403,-0.0049945638,0.014480828
404,-0.0040230937,0.01354453
405,-0.0031798896,0.012272782
406,-0.0021956656,0.011797966
407,-0.0012820882,0.011903936
408,-0.0007355983,0.012126763
409,-0.00049864996,0.012461958
410,-0.00048188717,0.012633867
411,-0.0005503692,0.012659128
412,-0.00047259973,0.012908178
413,-0.0003523542,0.013231165
414,-0.00038124798,0.013338606
415,-0.00046419876,0.013156244
416,-0.0003628402,0.013028435
417,3.1229996e-05,0.012847686
418,0.00056655094,0.012566305
419,0.0010809322,0.012261587
420,0.0016425882,0.012520643
421,0.0022042447,0.013558583
422,0.0027659007,0.015216855
423,0.0033275564,0.01731818
424,0.003889215,0.019721411
